brand,name,address_street,suburb,city,state,postcode,lat,lng,phone,email,website,rating,review_count,opening_hours,location_type,google_place_id,maps_url,svi_search_volume,svi_cpc,svi_competition,svi_period,pop_sa2_name,pop_year,pop_population,pop_change,pop_growth_pct
El Jannah,El Jannah Chicken Albion Park,104 Princes Hwy,ALBION PARK RAIL,CIVIC SQUARE,ACT,2527,-34.5569961,150.7914494,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/albion-park/,4.3,997,Mon: 10:00 - 23:00; Tue: 10:00 - 23:00; Wed: 10:00 - 23:00; Thu: 10:00 - 23:00; Fri: 10:00 - 23:00; Sat: 10:00 - 23:00; Sun: 10:00 - 23:00,brick_and_mortar,0x6b131300261672df:0xd130203afe641541,https://www.google.com/maps/place/El+Jannah+Chicken+Albion+Park/data=!4m7!3m6!1s0x6b131300261672df:0xd130203afe641541!8m2!3d-34.5569961!4d150.7914494!16s%2Fg%2F11vrhbsf54!19sChIJ33IWJgATE2sRQRVk_jogMNE?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Gungahlin,30/33 33 Hibberson St,GUNGAHLIN,BRADDON,ACT,2912,-35.1844932,149.1349118,+61 2 7908 5476,,https://eljannah.com.au/locations/act/gungahlin/,4.0,759,Mon: 11:00 - 23:00; Tue: 11:00 - 23:00; Wed: 11:00 - 23:00; Thu: 11:00 - 23:00; Fri: 11:00 - 23:00; Sat: 11:00 - 23:00; Sun: 11:00 - 23:00,brick_and_mortar,0x6b16558c0a12a859:0xa59e803b63ea35ca,https://www.google.com/maps/place/El+Jannah+Chicken+Gungahlin/data=!4m7!3m6!1s0x6b16558c0a12a859:0xa59e803b63ea35ca!8m2!3d-35.1844932!4d149.1349118!16s%2Fg%2F11t_rbpbz9!19sChIJWagSCoxVFmsRyjXqYzuAnqU?authuser=0&hl=en&rclk=1,,,,,Gungahlin,2024,9259,299,3.34
El Jannah,El Jannah Chicken Ivanhoe,173/177 Upper Heidelberg Rd,IVANHOE,CIVIC SQUARE,ACT,3079,-37.7677100,145.0434505,+61 2 7908 5476,,https://eljannah.com.au/locations/vic/ivanhoe/,4.8,236,Mon: 11:00 - 21:30; Tue: 11:00 - 21:30; Wed: 11:00 - 21:30; Thu: 11:00 - 21:30; Fri: 11:00 - 21:30; Sat: 11:00 - 21:30; Sun: 11:00 - 21:30,brick_and_mortar,0x6ad64500017c15fd:0x125ef8adcd1b6712,https://www.google.com/maps/place/El+Jannah+Chicken+Ivanhoe/data=!4m7!3m6!1s0x6ad64500017c15fd:0x125ef8adcd1b6712!8m2!3d-37.76771!4d145.0434505!16s%2Fg%2F11yr52nzsb!19sChIJ_RV8AQBF1moREmcbza34XhI?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Melbourne CBD,158 Swanston St,MELBOURNE,CIVIC SQUARE,ACT,3000,-37.8139156,144.9660991,+61 2 7908 5476,,https://eljannah.com.au/locations/vic/melbourne-cbd/,4.5,1395,Mon: 10:00 - 00:00; Tue: 10:00 - 00:00; Wed: 10:00 - 00:00; Thu: 10:00 - 02:00; Fri: 10:00 - 02:00; Sat: 10:00 - 02:00; Sun: 10:00 - 00:00,brick_and_mortar,0x6ad643e9e7e68a43:0xfc4b522e8d4097b1,https://www.google.com/maps/place/El+Jannah+Chicken+Melbourne+CBD/data=!4m7!3m6!1s0x6ad643e9e7e68a43:0xfc4b522e8d4097b1!8m2!3d-37.8139156!4d144.9660991!16s%2Fg%2F11xffg3sqb!19sChIJQ4rm5-lD1moRsZdAjS5SS_w?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Woden,Shop/90B Corinna St,PHILLIP,FARRER,ACT,2606,-35.3470076,149.0847610,+61 2 7908 5476,,https://eljannah.com.au/locations/act/woden/,4.3,332,Mon: 11:00 - 22:00; Tue: 11:00 - 22:00; Wed: 11:00 - 22:00; Thu: 11:00 - 22:00; Fri: 11:00 - 22:00; Sat: 11:00 - 22:00; Sun: 11:00 - 22:00,brick_and_mortar,0x6b17b51e86c7b153:0xef2432283b2ac5b7,https://www.google.com/maps/place/El+Jannah+Chicken+Woden/data=!4m7!3m6!1s0x6b17b51e86c7b153:0xef2432283b2ac5b7!8m2!3d-35.3470076!4d149.084761!16s%2Fg%2F11ycfxjwly!19sChIJU7HHhh61F2sRt8UqOygyJO8?authuser=0&hl=en&rclk=1,,,,,Phillip,2024,6556,911,16.14
El Jannah,El Jannah Chicken Bankstown,11B Chapel Rd,BANKSTOWN,SYDNEY,NSW,2200,-33.9325630,151.0284985,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/bankstown/,4.1,1946,Mon: 10:00 - 23:00; Tue: 10:00 - 23:00; Wed: 10:00 - 23:00; Thu: 10:00 - 23:00; Fri: 10:00 - 23:00; Sat: 10:00 - 23:00; Sun: 10:00 - 23:00,brick_and_mortar,0x6b12bf2a4948b8ad:0x997ed3f2935d6db2,https://www.google.com/maps/place/El+Jannah+Chicken+Bankstown/data=!4m7!3m6!1s0x6b12bf2a4948b8ad:0x997ed3f2935d6db2!8m2!3d-33.932563!4d151.0284985!16s%2Fg%2F11sx515l4m!19sChIJrbhISSq_EmsRsm1dk_LTfpk?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Baulkham Hills,351 Windsor Rd,BAULKHAM HILLS,SYDNEY,NSW,2153,-33.7607074,150.9919782,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/baulkham-hills/,4.1,1211,Mon: 11:00 - 22:00; Tue: 11:00 - 22:00; Wed: 11:00 - 22:00; Thu: 11:00 - 22:00; Fri: 11:00 - 22:00; Sat: 11:00 - 22:00; Sun: 11:00 - 22:00,brick_and_mortar,0x6b12a390284138f9:0x7f66cfa531ed071,https://www.google.com/maps/place/El+Jannah+Chicken+Baulkham+Hills/data=!4m7!3m6!1s0x6b12a390284138f9:0x7f66cfa531ed071!8m2!3d-33.7607074!4d150.9919782!16s%2Fg%2F11pttkbgqy!19sChIJ-ThBKJCjEmsRcdAeU_ps9gc?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Belmont,85 High St,BELMONT,BELLMOUNT FOREST,NSW,3216,-38.1719247,144.3464163,+61 2 7908 5476,,https://eljannah.com.au/locations/vic/belmont/,4.4,505,Mon: 10:00 - 22:00; Tue: 10:00 - 22:00; Wed: 10:00 - 22:00; Thu: 10:00 - 22:00; Fri: 10:00 - 22:00; Sat: 10:00 - 22:00; Sun: 10:00 - 22:00,brick_and_mortar,0x6ad413ad9e7b7353:0xf73a2f4b4ee8d9dc,https://www.google.com/maps/place/El+Jannah+Chicken+Belmont/data=!4m7!3m6!1s0x6ad413ad9e7b7353:0xf73a2f4b4ee8d9dc!8m2!3d-38.1719247!4d144.3464163!16s%2Fg%2F11xs3l2cvs!19sChIJU3N7nq0T1GoR3NnoTksvOvc?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Blacktown,Shop 3064A/17 Patrick St,BLACKTOWN,ROYAL EXCHANGE,NSW,2148,-33.7710684,150.9079206,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/blacktown/,4.2,3329,Mon: 11:00 - 22:00; Tue: 11:00 - 22:00; Wed: 11:00 - 22:00; Thu: 11:00 - 22:00; Fri: 11:00 - 22:00; Sat: 11:00 - 22:00; Sun: 11:00 - 22:00,brick_and_mortar,0x6b1298ffc19b936f:0xc5983e2c5a3f81f5,https://www.google.com/maps/place/El+Jannah+Chicken+Blacktown/data=!4m7!3m6!1s0x6b1298ffc19b936f:0xc5983e2c5a3f81f5!8m2!3d-33.7710684!4d150.9079206!16s%2Fg%2F1pwfvln6k!19sChIJb5Obwf-YEmsR9YE_Wiw-mMU?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Broadmeadows,g105/1169 Pascoe Vale Rd,BROADMEADOWS,BROADMEADOW,NSW,3047,-37.6783482,144.9199521,+61 2 7908 5476,,https://eljannah.com.au/locations/vic/broadmeadows/,4.1,942,Mon: 11:00 - 22:30; Tue: 11:00 - 22:30; Wed: 11:00 - 22:30; Thu: 11:00 - 22:30; Fri: 11:00 - 22:30; Sat: 11:00 - 22:30; Sun: 11:00 - 22:30,brick_and_mortar,0x6ad65b5971a240a1:0x63e39a1465d6bd5d,https://www.google.com/maps/place/El+Jannah+Chicken+Broadmeadows/data=!4m7!3m6!1s0x6ad65b5971a240a1:0x63e39a1465d6bd5d!8m2!3d-37.6783482!4d144.9199521!16s%2Fg%2F11kk69zg67!19sChIJoUCicVlb1moRXb3WZRSa42M?authuser=0&hl=en&rclk=1,,,,,,,,,
